0	10	11.189	12.52	14.008	15.674	17.538	19.624	21.957	24.568	27.49	30.759	34.417	38.509	43.089	48.213	53.946	60.361	67.539	75.57	84.556	94.611	105.862	118.451	132.536	148.297	165.932	185.664	207.742	232.445	260.087	291.015	325.621	364.342	407.668	456.146	510.389	571.082	638.992	714.978	800	819.679778644733	880.917448391193	946.491860977391	1017.19407043742	1093.05244872645	1174.42010683599	1262.11627785635	1356.14115310534	1457.25731663128	1566.28419284228	1683.22207108676	1808.45185640514	1943.14627867713	2088.12466507081	2244.14998543238	2411.6599867432	2591.38907241424	2784.94791141492	2992.74626377877	3215.92790873351	3456.10351445801	3714.06461644315	3990.98278480328	4288.44070393171	4608.40205733991	4952.47693609109	5321.83768347651	5718.829758465	6145.47320505222	6604.08414417601	7097.09295856234	7626.43399685399	8195.27339627099	8806.77343447353	9463.71808979813	10169.6240055301	10928.4764547399	11743.8191039564	12619.9900471026	13561.7350178278	14573.8012921819	15660.9361470058
600	142.85	351	460	594.5	870	1121	1350	1520	1775	1850	2040	2280	2420	2615	2730	2815	2690	2235	1745	1310	1190	1075	1135	1100	1040	845.5	778.5	727	578.5	421	256	121	75.4	39	20.1	14.35	10.53	6.885	3.8	4.91	2.566232	2.333409	2.254096	1.961449	1.873144	1.628464	1.419472	1.297994	1.236898	0.830202	0.670644	0.665096	0.55238	0.304847	0.173012	0.11721	0.077916	0.028291	0.007098	0.00708	0	0.003544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1200	86.85	216	372	597.5	867.5	1160	1450	1620	2020	2145	2310	2475	2615	2745	2865	2965	2910	2500	1915	1465	1250	1205	1145	1195	1070	960	790.5	734.5	593	407.5	259	163.5	87.1	47	25.2	17.35	9.63	8.065	2.275	4.89	2.830953	2.577678	2.257951	2.003939	2.008183	1.613145	1.57651	1.382139	1.224152	0.943292	0.764552	0.770004	0.543913	0.394673	0.203844	0.139145	0.065721	0.036458	0.021951	0.00365	0.007297	0	0	0.007313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1800	96.1	270.5	355.5	675.5	1008.5	1260	1470	1815	1980	2205	2345	2650	2745	2905	3035	3185	3165	2790	2170	1655	1370	1340	1240	1245	1170	957	866	789	649.5	454	280	166	84.75	44.45	26.4	14.95	6.77	6.59	4.64	6.305	2.700277	2.455117	2.278069	2.017364	1.673392	1.481373	1.319715	1.27401	1.180296	0.857477	0.795809	0.725152	0.577549	0.395775	0.226251	0.158627	0.055016	0.027468	0.006891	0.006874	0.003436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2400	98.2	205.5	471	598.5	946.5	1305	1575	1825	2025	2210	2490	2650	2875	3005	3210	3425	3445	3105	2355	1825	1530	1405	1325	1265	1225	1050	896	787	668.5	488	328.5	182	105.35	50.2	22.45	17	8.965	4.355	2.285	3.485	2.78092	2.644027	2.388063	2.113148	1.906489	1.505482	1.651951	1.239287	1.181589	0.842172	0.781375	0.822719	0.525779	0.379544	0.285327	0.09687	0.053662	0.046439	0.028678	0.007152	0	0	0	0	0	0.003578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3000	84	85.8	245.5	440	731	1025.5	1485	1810	2215	2330	2495	2740	2930	3125	3200	3415	3555	3315	2685	2050	1625	1435	1360	1335	1260	1135	967	824	731	516	326.5	205.5	117	51.3	27.4	18.3	9.53	4.485	5.185	2.8291	2.772875	2.486202	2.236048	2.003988	1.927463	1.635082	1.448819	1.22819	1.169531	0.98702	0.801153	0.700354	0.580432	0.314285	0.283932	0.120839	0.069374	0.014584	0.021952	0.007299	0	0.007308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003653	0	0	0	0
3600	52.5	152	205	543.5	684.5	1150	1625	2020	2405	2545	2750	2830	3010	3245	3475	3700	3810	3675	2925	2340	1865	1685	1540	1465	1410	1220	1016	949.5	781	578	359	207	118.5	62.5	39.05	22.75	15.05	7.365	9.305	2.83	2.596427	2.298387	2.1982	1.770743	1.770348	1.443341	1.507887	1.169469	1.179174	0.876432	0.795003	0.663479	0.50051	0.446516	0.186735	0.099045	0.061299	0.040806	0.023887	0.006808	0.010208	0.003408	0	0	0	0.003406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4200	121.3	126.15	251.5	617.5	862.5	1295	1720	2155	2515	2675	2850	2885	2990	3220	3480	3860	4090	3860	3100	2370	1975	1715	1610	1535	1385	1210	1040	925	796	545	337.5	201.5	113.3	65.75	30.45	15.45	17.1	7.515	4.775	3.505	2.82015	2.584693	2.463843	2.071349	1.907564	1.528281	1.517632	1.235899	1.252694	0.891974	0.758893	0.774751	0.497849	0.400115	0.265699	0.084403	0.080654	0.038517	0.017569	0.003505	0.003504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4800	84.9	175.5	425.5	662	877.5	1375	1765	2155	2560	2715	2835	2850	2985	3220	3490	3900	4230	3965	3185	2495	2045	1800	1655	1500	1425	1180	992	923.5	760.5	547	350	199.5	114	56.25	30	15.75	11.45	6.865	6.795	7.725	3.137072	3.002858	2.621199	2.319889	2.248275	1.827365	1.94878	1.602133	1.470777	1.074153	0.906849	0.880224	0.600905	0.436845	0.281767	0.086109	0.042931	0.035723	0.017924	0.003576	0.010724	0.00358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5400	89.2	220.5	507	720	1055	1345	1770	2105	2510	2690	2815	2780	2890	3085	3410	3735	4020	3580	2940	2295	1985	1795	1640	1520	1300	1110	961.5	857.5	755.5	512	326.5	192	111.5	56.5	34.6	20.35	10.05	8.315	7.775	5.63	3.352397	3.220967	3.010467	2.566406	2.161201	1.929809	1.964345	1.649149	1.514141	1.097979	0.765371	0.843874	0.631835	0.465701	0.335792	0.1184	0.038196	0.034672	0.013917	0	0.00347	0	0	0.003477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
